qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,3.85189807080751,96.25228167390436,1.5348981437522007,100,4.003755170817403,2.3559122778014325,4.0,4.0,0.003755170817402842,1.6440877221985675,1.6478428930159703,835.3829383850098
4.0,4.001859636960396,100.0,1.5498475141954038,100,4.003720138742009,2.402027287270168,4.0,4.0,0.0037201387420093823,1.597972712729832,1.6016928514718414,501.1465549468994
4.0,4.001842292319892,100.0,1.5645650793498795,100,4.003685433406432,2.44786385658457,4.0,4.0,0.003685433406431571,1.5521361434154302,1.5558215768218617,1338.1595611572266
4.0,4.0018251093772665,100.0,1.5790586730030525,100,4.003651051764604,2.4934262610054114,4.0,4.0,0.0036510517646037854,1.5065737389945886,1.5102247907591924,1223.9723205566406
4.0,4.001808086626439,100.0,1.5933357039348754,100,4.003616990798832,2.5387186329032407,4.0,4.0,0.0036169907988323757,1.4612813670967593,1.4648983578955916,807.1715831756592
4.0,4.001791222575328,100.0,1.607403186089134,100,4.00358324751953,2.583744969454903,4.0,4.0,0.0035832475195300972,1.4162550305450972,1.4198382780646273,823.7481117248535
4.0,4.001774515745725,100.0,1.6212677673826597,100,4.003549818964958,2.6285091397725,4.0,4.0,0.0035498189649576517,1.3714908602275,1.3750406791924576,855.6358814239502
4.0,3.943298603529904,98.5256088124065,1.6346014681515648,100,4.004617892786286,2.671921924087412,4.0,4.0,0.004617892786286326,1.3280780759125879,1.3326959686988742,295.3975200653076
4.0,3.9438195966273657,98.5256088124065,1.6477548982252075,100,4.005676152107675,2.715096168675818,4.0,4.0,0.0056761521076751364,1.2849038313241818,1.290579983431857,828.3464908599854
4.0,3.9443357350930253,98.5256088124065,1.660733316680284,100,4.006724688393002,2.7580351128783884,4.0,4.0,0.0067246883930023316,1.2419648871216116,1.248689575514614,831.5808773040771
4.0,3.94484706541524,98.5256088124065,1.6735417345165138,100,4.007763592230056,2.8007419006557477,4.0,4.0,0.007763592230055849,1.1992580993442523,1.2070216915743082,838.7823104858398
4.0,3.9453536336138093,98.5256088124065,1.6861849310802708,100,4.008792953339369,2.8432195850709427,4.0,4.0,0.008792953339368914,1.1567804149290573,1.1655733682684262,2443.8159465789795
4.0,3.9350766877844094,98.25398145528337,1.6986081434978197,100,4.010015882534057,2.885269588080129,4.0,4.0,0.010015882534056608,1.1147304119198709,1.1247462944539275,200.58083534240723
4.0,4.004958166878929,100.0,1.7112553475736838,100,4.009922480301788,2.9283948284320087,4.0,4.0,0.009922480301788106,1.0716051715679913,1.0815276518697794,327.1331787109375
4.0,4.004911958016991,100.0,1.723741170686984,100,4.009829948549691,2.9712835871682453,4.0,4.0,0.009829948549691103,1.0287164128317547,1.0385463613814458,1888.99564743042
4.0,4.004866179286691,100.0,1.7360699564619435,100,4.00973827917506,3.013938857224825,4.0,4.0,0.009738279175060427,0.9860611427751751,0.9957994219502355,847.212553024292
4.0,4.004820826693877,100.0,1.7482458604054163,100,4.009647464150431,3.0563635517986336,4.0,4.0,0.009647464150431162,0.9436364482013664,0.9532839123517975,880.068302154541
4.0,4.00477589628131,100.0,1.7602728608070763,100,4.009557495522881,3.0985605077748946,4.0,4.0,0.009557495522881432,0.9014394922251054,0.9109969877479869,888.2186412811279
4.0,4.004731384128321,100.0,1.7721547691266673,100,4.009468365413344,3.1405324889520356,4.0,4.0,0.00946836541334406,0.8594675110479644,0.8689358764613084,854.4094562530518
4.0,4.004687286350475,100.0,1.7838952396117131,100,4.0093800660159244,3.1822821890791158,4.0,4.0,0.009380066015924449,0.8177178109208842,0.8270978769368087,877.7580261230469
4.0,3.9908629385273167,99.65265678893131,1.795426010498597,100,4.009552187746942,3.2235545221891804,4.0,4.0,0.009552187746941776,0.7764454778108196,0.7859976655577614,869.8053359985352
4.0,3.9909478017404525,99.65265678893131,1.8068241557850482,100,4.009722710828492,3.2646134929507924,4.0,4.0,0.009722710828492076,0.7353865070492076,0.7451092178776997,885.9808444976807
4.0,3.9799195453683773,99.37259767724416,1.8180356876719033,100,4.010100976451949,3.305253724607682,4.0,4.0,0.010100976451949073,0.6947462753923181,0.7048472518442672,636.4569664001465
4.0,3.9801055119120807,99.37259767724416,1.829122313980592,100,4.01047573884824,3.34568840250928,4.0,4.0,0.010475738848239935,0.6543115974907199,0.6647873363389598,885.4572772979736
4.0,3.9802897476776464,99.37259767724416,1.8400869126105535,100,4.010847030623182,3.3859198090304368,4.0,4.0,0.010847030623182263,0.6140801909695632,0.6249272215927455,901.4260768890381
4.0,3.980472268931305,99.37259767724416,1.8509322545024922,100,4.011214884076127,3.4259501739022284,4.0,4.0,0.011214884076126808,0.5740498260977716,0.5852647101738984,873.1920719146729
4.0,3.980653091783474,99.37259767724416,1.86166100913443,100,4.0115793312028964,3.465781676162159,4.0,4.0,0.011579331202896448,0.5342183238378411,0.5457976550407375,1028.9897918701172
4.0,3.980832232190315,99.37259767724416,1.8722757496367481,100,4.011940403698693,3.5054164460052073,4.0,4.0,0.011940403698693203,0.4945835539947927,0.5065239576934859,1363.4936809539795
4.0,3.981009705955258,99.37259767724416,1.8827789575806788,100,4.012298132960974,3.544856566542098,4.0,4.0,0.01229813296097415,0.4551434334579021,0.46744156641887624,1358.687162399292
4.0,4.006087099966056,100.0,1.8932960307478959,100,4.012183463974408,3.5845698236978993,4.0,4.0,0.012183463974407616,0.41543017630210066,0.4276136402765083,391.2825584411621
4.0,4.00603038557121,100.0,1.9037032049584046,100,4.012069863367888,3.6240858563324143,4.0,4.0,0.012069863367887734,0.3759141436675857,0.3879840070354734,917.6025390625
4.0,4.005974198804582,100.0,1.9140028080207765,100,4.011957321202147,3.6634067129943575,4.0,4.0,0.01195732120214732,0.3365932870056425,0.3485506082077898,875.7166862487793
4.0,4.00591853477211,100.0,1.924197088458859,100,4.011845827630109,3.7025343992432758,4.0,4.0,0.01184582763010944,0.29746560075672424,0.3093114283868337,888.6699676513672
4.0,4.0058633886248565,100.0,1.9342882192059883,100,4.0117353728960365,3.7414708791022786,4.0,4.0,0.011735372896036544,0.2585291208977214,0.27026449379375794,831.9826126098633
4.0,4.005808755558599,100.0,1.9442783011082163,100,4.011625947334689,3.780218076443022,4.0,4.0,0.011625947334689357,0.2197819235569778,0.23140787089166714,860.6722354888916
4.0,4.005754630813421,100.0,1.9541693662216426,100,4.011517541370492,3.818777876306954,4.0,4.0,0.01151754137049199,0.18122212369304602,0.192739665063538,886.0390186309814
4.0,4.005701009673307,100.0,1.963963380918441,100,4.011410145516704,3.8571521261665405,4.0,4.0,0.011410145516704162,0.14284787383345954,0.1542580193501637,876.3718605041504
4.0,3.49663307391182,87.1884858965021,1.9712486704048282,100,4.020886868682077,3.8858212871001987,4.0,4.0,0.020886868682077342,0.1141787128998013,0.13506558158187865,170.35937309265137
3.9426955554125023,3.3770904581653527,84.09642737391353,1.977907566412571,100,4.031533733975437,3.912118309140114,4.0,4.0,0.03153373397543735,0.08788169085988606,0.11941542483532341,230.50713539123535
3.592225319756839,2.781809065075985,69.14210898498341,1.9817052863173716,100,4.0467781383464025,3.92715581926375,4.0,4.0,0.04677813834640254,0.07284418073624987,0.11962231908265242,466.78829193115234
2.6463963669887036,2.753554750726178,68.45689680346656,1.9853447713538785,100,4.044762493834608,3.941593839341971,4.0,4.0,0.044762493834608286,0.05840616065802884,0.10316865449263712,372.58362770080566
1.9778019181407995,2.435244163995032,60.60776480812599,1.9874631036716766,100,4.036161156533052,3.9500095745217743,4.0,4.0,0.036161156533052186,0.04999042547822574,0.08615158201127793,617.0189380645752
